salve1,CPU Count,2
salve1,CPU Usage,99
salve2,CPU Usage,3
salve1,Memory Percent,47
salve1,Disk Usage,/dev/sda2,5
salve1,Disk Usage,/dev/sda5,6
salve1,Disk name,/dev/sda1,6
salve1,Traffic in,0
salve1,Traffic out,0
salve1,NIC,virbr0
salve1,MAC,
salve1,IPv4 Address,192.168.122.1
salve1,IPv4 Subnet,255.255.255.0
salve1,IPv6 Address,
salve1,OS,Linux
salve1,Version,3.10.0-1062.el7.x86_64
salve1,System Uptime,16739
salve1,System UUID,8796752708986
salve1,Top 5 process,gnome-shell,gnome-software,pulseaudio,evolution-source-registry,evolution-addressbook-factory-subprocess
